==========
Args:Namespace(arch='mub', cuhk03_classic_split=False, cuhk03_labeled=False, dataset='market1501', eval_step=20, evaluate=False, gamma=0.1, gpu_devices='0,1', height=256, lr=0.0003, max_epoch=60, optim='adam', print_freq=10, resume='', root='data', save_dir='log/resnet50-xent-mub-market1501', seed=1, split_id=0, start_epoch=0, start_eval=0, stepsize=20, test_batch=32, train_batch=32, use_cpu=False, use_metric_cuhk03=False, weight_decay=0.0005, width=128, workers=0)
==========
Currently using GPU 0,1
Initializing dataset market1501
=> Market1501 loaded
Dataset statistics:
  ------------------------------
  subset   | # ids | # images
  ------------------------------
  train    |   751 |    12936
  query    |   750 |     3368
  gallery  |   751 |    15913
  ------------------------------
  total    |  1501 |    32217
  ------------------------------
Initializing model: mub
Model size: 31.40421M
==> Start training
Epoch: [5][20/404]	Time 0.558 (0.571)	Data 0.401 (0.410)	Loss 29.2538 (28.2363)	
Epoch: [5][30/404]	Time 0.592 (0.574)	Data 0.442 (0.413)	Loss 29.6667 (28.0458)	
Epoch: [5][40/404]	Time 0.613 (0.580)	Data 0.443 (0.419)	Loss 28.3499 (27.9641)	
Epoch: [5][50/404]	Time 0.582 (0.581)	Data 0.429 (0.421)	Loss 28.2762 (28.1002)	
Epoch: [5][60/404]	Time 0.477 (0.579)	Data 0.321 (0.419)	Loss 27.0368 (28.0265)	
Epoch: [5][70/404]	Time 0.309 (0.565)	Data 0.139 (0.405)	Loss 26.8841 (27.9089)	
Epoch: [5][80/404]	Time 0.592 (0.576)	Data 0.424 (0.416)	Loss 26.5657 (27.8391)	
Epoch: [5][90/404]	Time 0.422 (0.574)	Data 0.256 (0.413)	Loss 24.9134 (27.7359)	
Epoch: [5][100/404]	Time 0.564 (0.571)	Data 0.378 (0.410)	Loss 26.6537 (27.7769)	
Epoch: [5][110/404]	Time 0.569 (0.565)	Data 0.411 (0.404)	Loss 28.1535 (27.7522)	
Epoch: [5][120/404]	Time 0.510 (0.563)	Data 0.348 (0.402)	Loss 26.2373 (27.7889)	
Epoch: [5][130/404]	Time 0.627 (0.561)	Data 0.473 (0.400)	Loss 27.2527 (27.7231)	
Epoch: [5][140/404]	Time 0.656 (0.558)	Data 0.502 (0.397)	Loss 27.5650 (27.7218)	
Epoch: [5][150/404]	Time 0.408 (0.551)	Data 0.244 (0.391)	Loss 25.2945 (27.7337)	
Epoch: [5][160/404]	Time 0.711 (0.551)	Data 0.542 (0.390)	Loss 29.1957 (27.7249)	
Epoch: [5][170/404]	Time 0.415 (0.551)	Data 0.262 (0.390)	Loss 28.1348 (27.7341)	
Epoch: [5][180/404]	Time 0.423 (0.549)	Data 0.268 (0.388)	Loss 25.9442 (27.7020)	
Epoch: [5][190/404]	Time 0.680 (0.550)	Data 0.535 (0.389)	Loss 27.2749 (27.6689)	
Epoch: [5][200/404]	Time 0.331 (0.546)	Data 0.176 (0.385)	Loss 28.1501 (27.6325)	
Epoch: [5][210/404]	Time 0.528 (0.545)	Data 0.369 (0.384)	Loss 26.6498 (27.6236)	
Epoch: [5][220/404]	Time 0.488 (0.546)	Data 0.331 (0.385)	Loss 28.0359 (27.6043)	
Epoch: [5][230/404]	Time 0.588 (0.547)	Data 0.435 (0.386)	Loss 25.9506 (27.5614)	
Epoch: [5][240/404]	Time 0.586 (0.542)	Data 0.422 (0.381)	Loss 26.5968 (27.5246)	
Epoch: [5][250/404]	Time 0.592 (0.541)	Data 0.429 (0.380)	Loss 28.5896 (27.5190)	
Epoch: [5][260/404]	Time 0.413 (0.539)	Data 0.249 (0.378)	Loss 27.5180 (27.5141)	
Epoch: [5][270/404]	Time 0.509 (0.538)	Data 0.363 (0.378)	Loss 22.9493 (27.4780)	
Epoch: [5][280/404]	Time 0.620 (0.539)	Data 0.464 (0.378)	Loss 25.6436 (27.4203)	
Epoch: [5][290/404]	Time 0.400 (0.538)	Data 0.239 (0.377)	Loss 25.6343 (27.4038)	
Epoch: [5][300/404]	Time 0.598 (0.538)	Data 0.441 (0.377)	Loss 27.2343 (27.3592)	
Epoch: [5][310/404]	Time 0.581 (0.538)	Data 0.426 (0.378)	Loss 25.6549 (27.3272)	
Epoch: [5][320/404]	Time 0.578 (0.538)	Data 0.410 (0.378)	Loss 26.2200 (27.3085)	
Epoch: [5][330/404]	Time 0.575 (0.540)	Data 0.418 (0.380)	Loss 24.0646 (27.2668)	
Epoch: [5][340/404]	Time 0.614 (0.539)	Data 0.454 (0.378)	Loss 26.7092 (27.2284)	
Epoch: [5][350/404]	Time 0.536 (0.538)	Data 0.373 (0.378)	Loss 25.1612 (27.2030)	
Epoch: [5][360/404]	Time 0.514 (0.538)	Data 0.359 (0.377)	Loss 25.1374 (27.1628)	
Epoch: [5][370/404]	Time 0.595 (0.538)	Data 0.430 (0.377)	Loss 24.7342 (27.1313)	
Epoch: [5][380/404]	Time 0.537 (0.537)	Data 0.382 (0.376)	Loss 28.1807 (27.1108)	
Epoch: [5][390/404]	Time 0.461 (0.535)	Data 0.311 (0.375)	Loss 27.3360 (27.0938)	
Epoch: [5][400/404]	Time 0.467 (0.533)	Data 0.284 (0.373)	Loss 25.0096 (27.0590)	
Epoch: [6][10/404]	Time 0.412 (0.460)	Data 0.260 (0.300)	Loss 23.5682 (25.0197)	
Epoch: [6][20/404]	Time 0.601 (0.451)	Data 0.452 (0.290)	Loss 24.6146 (24.9835)	
Epoch: [6][30/404]	Time 0.683 (0.483)	Data 0.516 (0.322)	Loss 22.9397 (24.7960)	
Epoch: [6][40/404]	Time 0.477 (0.513)	Data 0.303 (0.349)	Loss 25.1367 (24.8835)	
Epoch: [6][50/404]	Time 0.645 (0.520)	Data 0.496 (0.358)	Loss 24.4763 (24.7543)	
Epoch: [6][60/404]	Time 0.607 (0.520)	Data 0.447 (0.358)	Loss 24.7315 (24.6809)	
Epoch: [6][70/404]	Time 0.393 (0.515)	Data 0.234 (0.354)	Loss 22.5932 (24.5808)	
Epoch: [6][80/404]	Time 0.212 (0.507)	Data 0.058 (0.346)	Loss 22.4993 (24.5223)	
Epoch: [6][90/404]	Time 0.685 (0.506)	Data 0.518 (0.345)	Loss 23.4070 (24.5261)	
Epoch: [6][100/404]	Time 0.401 (0.505)	Data 0.250 (0.343)	Loss 21.8807 (24.4967)	
Epoch: [6][110/404]	Time 0.590 (0.500)	Data 0.424 (0.339)	Loss 25.6990 (24.4694)	
Epoch: [6][120/404]	Time 0.659 (0.503)	Data 0.497 (0.342)	Loss 24.6498 (24.5026)	
Epoch: [6][130/404]	Time 0.619 (0.508)	Data 0.463 (0.346)	Loss 24.4568 (24.4785)	
Epoch: [6][140/404]	Time 0.583 (0.520)	Data 0.433 (0.358)	Loss 23.9095 (24.4410)	
